,Code,Name,Market,Marcap
2561,044180,KD,KOSDAQ,18408563511
2562,439410,엔에이치스팩26호,KOSDAQ,17908000000
2563,45014K,코오롱모빌리티그룹우,KOSPI,17855992400
2564,004105,태양금속우,KOSPI,17556000000
2565,33637L,솔루스첨단소재2우B,KOSPI,17344233000
2566,341310,이앤에치,KONEX,17276106600
2567,244880,나눔테크,KONEX,17243700000
2568,393360,신한제8호스팩,KOSDAQ,17088750000
2569,430230,하나금융24호스팩,KOSDAQ,17088540000
2570,000087,하이트진로2우B,KOSPI,17076385180
2571,331660,한국미라클피플사,KONEX,17050000000
2572,140910,에이리츠,KOSPI,16468588080
2573,000075,삼양홀딩스우,KOSPI,16084668200
2574,440820,엔에이치스팩27호,KOSDAQ,15834000000
2575,424140,케이비제21호스팩,KOSDAQ,15689850000
2576,236340,메디젠휴먼케어,KONEX,15676164400
2577,254160,제이엠멀티,KONEX,15609000000
